claim,evidence,label
Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma.,"[""Hunter bidens previous career history does not include work for energy company's."", ""Hunter Bidens previous career history does not include working with Ukrainian company's.""]",SUPPORTED
"Joe Biden voted for the Iraq War and he supported wars in Serbia, Syria, and Libya.","['When Joe Biden was a U.S. Senator, he voted in favor of a resolution on Iraq in October 2022.', 'In a November 2005 interview on NBC’s ""Meet the Press,"" Biden was asked if his 2002 vote was a mistake.\n\n""It was a mistake,"" Biden said. ""It was a mistake to assume the president would use the authority we gave him properly. … We gave the president the authority to unite the world to isolate Saddam. And the fact of the matter is, we went too soon. We went without sufficient force. And we went without a plan.""', 'Joe Biden voted for a 1999 concurrent resolution.', 'Biden’s campaign said the Obama-Biden administration supported the Syrian opposition in a variety of ways, including by deploying U.S. forces to combat ISIS.', 'He followed policies of the Obama administration, which included interventions in Libya.']",SUPPORTED
"In Kenya, one Magistrate serves 77,000 people.","['It is 10,114 more than is actually claimed.']",REFUTED
No Democrats have condemned the rioting that has occurred alongside recent protests.,"['Joe Biden condemned the rioting as needless destruction.', 'Joe Biden condemned the rioting as needless destruction.']",REFUTED
"A pizza place in Washington, D.C. -- Comet Ping Pong has ties to Hillary Clinton and other leading Democrats","['There is not proven links at all', 'A man traveled to the area and fired an assault rifle inside the restaurant, determined to investigate the claims himself. No one was injured, there was no evidence of child abuse.']",REFUTED
South Africans are among the top drinkers in the world.,['South Africa ranked sixth'],SUPPORTED
South Africans drink more per person than anywhere else in Africa,"['- Tunisia (36.6 litres),\n- Eswatini (34.4 litres)\n- Namibia (32.4 litres)']",REFUTED
Only 31% of South Africans drink alcohol.,['A 2018 report uses the 2016 data for South Africans who drink alcohol'],SUPPORTED
Democratic Arizona Superintendent of Public Instruction Kathy Hoffman is “pushing” for sex education that would teach kindergartners about masturbation and sexual positions.,"['June 2019\nThe State Board resolved the lawsuit by changing a portion of the sex ed rules in May, but this proposal, which Hoffman asked the board to consider, would have made several more changes developed by Sen. Martin Quezada, D-Glendale, and a group of stakeholders.', 'Ultimately, board members decided not to take action and let existing rules stand.']",REFUTED
Democratic Arizona Superintendent of Public Instruction Kathy Hoffman was sworn into office on a Dr. Seuss book.,"['There is no requirement that public officials swear in on the Bible, or any other religious book, per the U.S. Constitution’s Article VI, Clause 3.']",REFUTED
India's Supreme Court recently changed its motto from ‘Satyamev Jayate’ to ‘Yato Dharmastato Jai’.,"['There is no evidence of the motto being changed.', 'There is no reference to a change of motto.']",REFUTED
Candace Owens was fired from her show at One America News after a  racist outburst.,"[""Her show was on 'praeru'"", 'It is a satrical news site as explained by themselves, taterforceone.com is a subsidiary of the “America’s Last Line of Defense” network of parody, satire, and tomfoolery, or as Snopes called it before they lost their war on satire: Junk News']",REFUTED
President Trump is the most pro-gay president in American history.,"['He made laws such as \n1. Appointing Anti-Equality Judges\n2. Stripping protections from LGBTQ students, parents and families\n3. Defending Anti-Gay Discrimination']",REFUTED
"Messages in Google Earth show the ""Deep States New Home,"" which shows up on the map as ""Setatspeed Emohwen Gardens"" near Guantanamo Bay, Cuba.",['Guantánamo Bay is a bay in Guantánamo Province at the southeastern end of Cuba'],REFUTED
Donald Trump is trying to take away the health care by getting rid of the Affordable Care Act.,['The claim refers to  a court case pending before the Supreme Court in which the Trump has joined a group of Republican governors in an effort to overturn the Affordable Care Act'],SUPPORTED
Trumps January 2018 travel ban was unlawful.,"['The President has lawfully exercised the broad discretion granted to him under §1182(f) to suspend the entry of aliens into the United States. Pp. 9–24.', 'The American Civil Liberties Union and other partner organizations filed a federal lawsuit challenging President Trump’s Muslim ban executive order, charging it violates the Constitution — including the First Amendment’s prohibition of government establishment of religion and the Fifth Amendment’s guarantees of equal treatment under the law — and federal laws.', 'On June 26, 2018 the United States Supreme Court upheld Presidential Proclamation 9645, allowing Travel Ban 3.0 to continue. The countries currently affected by the ban are Iran, Libya, Yemen, Syria, Somalia, Venezuela and North Korea. Chad was removed from this list in April 2018 and is no longer subject to this travel ban.']",REFUTED
"Drinking traditional Chinese medicine (TCM) or steroids, along with antibiotics at the onset of symptoms cures COVID-19.",['Scientists around the world are working to find and develop treatments for COVID-19. Home remedies do not cure Covid-19.'],REFUTED
"Nigeria is the largest producer of rice in Africa, ranking 14th in the world.",['It is listed on the United states department of Agriculture.'],SUPPORTED
"In the US, envelopes used for mail-in ballots in general elections reveal the party affiliation of the voter allowing postal workers to toss votes.","['In a general election, ballot envelopes in Florida do not reveal party affiliation, an election official told us. Voting experts told us they aren’t aware of any jurisdiction using such labels in general elections, nor would there be a reason to do so.']",REFUTED
Social Security beneficiaries count on the post office to get their checks.,['In 2019 and 2020 99.1% of US Social Security beneficiaries got direct deposits.\nSome beneficiaries still depend on the Post Office.'],SUPPORTED
Vice President Biden and President Obama assembled a pandemic playbook to make sure that America was prepared and protected. The Trump administration disbanded the pandemic response team that was given to them.,"['Through the Obama administration, the NSC devised the guide — officially called the Playbook for Early Response to High-Consequence Emerging Infectious Disease Threats and Biological Incidents, but known colloquially as ""the pandemic playbook"" — across 2016. The project was driven by career civil servants as well as political appointees, aware that global leaders had initially fumbled their response to the 2014–2015 spread of Ebola and wanting to be sure that the next response to an epidemic was better handled.', 'The Trump administration was briefed on the playbook’s existence in 2017, said four former officials, but two cautioned that it never went through a full, National Security Council-led interagency process to be approved as Trump administration strategy.', 'The document rested with NSC officials who dealt with medical preparedness and biodefense in the global health security directorate, which the Trump administration disbanded in 2018, four former officials said.', 'a president can choose cabinent members he chooses to work with']",SUPPORTED
"Sweden, which does not require the wearing of masks in public, has had few deaths due to COVID-19","['‘We see no point in wearing a face mask,’ Sweden’s top virus expert says', 'The Public Health Authority refrains from recommending mouthguards to the public as a mouthguard that itches and goes down under the nose contributes to the hands often touching the mouth, eyes and nose, which can increase the risk of spreading infection.\n\nIt can also contribute to people with mild symptoms going out into society, which could increase the spread of infection.', 'Sweden had the highest total of deaths as of August 16, 2020, with 5783 deaths.']",REFUTED
Beijing government announced that Chinese people should not travel to the United States or buy American-made products.,"['Transcript of August 13 daily press briefing does not  include a request for Chinese people to avoid American products or avoid travelling to the US.', 'China’s State Council weekly policy briefing pages for August 13, 2020 do not mention the US.', 'A keywords search set between August 13 and August 18 2020 found no claim on the Ministry’s Twitter account.']",REFUTED
warm water is effective in curing asthma,"['There is no cure for asthma, but there are effective treatments available. The best way to manage your asthma is to work with an allergist.']",REFUTED
Cold water affects the internal walls of the stomach. It affects the large intestine and results in cancer,"[""If temperature is what's been holding you back, cold foods and beverages aren’t known to harm any internal organs, so feel free to enjoy them! Additionally, although drinking cold water has been found to burn slightly more calories than drinking warm water, the difference is so small that it’s not considered significant. That being said, some people may find discomfort in drinking colder beverages if they have trouble swallowing or experience heartburn, but it won't cause harm to the body. Ultimately, it's more critical to drink enough water as the temperature makes minimal difference.""]",REFUTED
